state,gasoline,diesel,ethanol_flex_e85,electric_ev,plug-in_hybrid_electric_phev,hybrid_electric_hev,biodiesel
New Jersey,-0.008647885682733003,-0.00045963006728843604,-0.0013730215702782225,0.005018995886103553,0.0013695093408638082,0.003861101338259114,0.00023093075507323165
New Mexico,-0.004469937619351549,-0.0002595205369940179,-0.0017302280493127625,0.0013841390158174632,0.00045964987455220747,0.0031540407187317793,0.0014618565965568257
New York,-0.00805725996011597,-0.00023578325483919818,-0.0012354731900364943,0.0032591569288221434,0.0016893957362954636,0.004149319305356398,0.00043064443451774296
North Carolina,-0.004796460742808151,-0.00027811651749597155,-0.0022807517247287884,0.0022012770569450604,0.0004772625893626043,0.0038813686595830683,0.0007954206791421382
North Dakota,-0.0007053869222125586,-0.00012100673804796985,-0.0035058376247961154,0.0003615313877857319,0.00023916253200580704,0.0022636812847241037,0.0014678560805410704
Ohio,-0.00443962961489297,-0.00019455261297296814,-0.001419900296881299,0.0018078124607334095,0.0005366070665030038,0.0031739082261578455,0.0005357547713530121
Oklahoma,-0.004730912010647903,0.0005899368020081258,-0.0012292461650929981,1.4746859193759052e-05,0.0004004943897762776,0.0041142274726530675,0.0008407526521096824
Oregon,-0.00813252766534045,-0.0005529994490357099,-0.0006412710441750652,0.003597500103506058,0.0011192075966465053,0.0036054841856883735,0.001004606272710342
Pennsylvania,-0.005131877378341976,-0.0001365288295475768,-0.0017724294611578262,0.0019055429716491133,0.0008387410536966678,0.004097313616936108,0.00019923802676545446
Rhode Island,-0.00693976141985142,-0.00015797098947244875,-0.000530391701327966,0.002234842013652972,0.0010723015690019717,0.0038388856896924457,0.0004820948383045388
South Carolina,-0.003041316867321342,-5.951063673002854e-05,-0.002107704629928167,0.0011037376356802693,0.0003883765872624474,0.0029173714358021567,0.000799046475234693
South Dakota,-0.0018282749549959343,-0.00010084715383268383,-0.00243044156769176,0.0005006447047152906,0.0003219835301661708,0.0020559873251436104,0.0014809481164952745
Tennessee,-0.003401576345229085,-4.0337316790865774e-05,-0.001608181916941287,0.0013827825390957124,0.0002579013278032219,0.002619821162090953,0.0007895905499713893
Texas,-0.0035807799404110607,-0.0003995929299475745,-0.003090801423737799,0.0023566358507452687,0.00033109239456582343,0.0033617153209048803,0.00102173072788048
Utah,-0.007474272324176634,-9.15858517311352e-06,-0.001960827249601213,0.0036498833704004686,0.0007154083546596461,0.0035502366982820624,0.0015287297356087297
Vermont,-0.008285770378509638,-0.0004337428388330074,-0.002117515541113106,0.004256702160699984,0.0021593681764944025,0.0036132872566873794,0.0008076711645739667
Virginia,-0.005449119064678376,-0.000272252736932016,-0.0019490376996764217,0.0027604631941062774,0.0006398394676041474,0.0038368767348923825,0.0004332301046840476
Washington,-0.010193136732536079,-0.0004156511921351233,-0.001132754020387601,0.005731552131778884,0.0010596231375907383,0.004198055100124547,0.0007523115755646917
West Virginia,-0.001973728263545471,-0.00011089569691624668,-0.0023996641089001902,0.0006541014747723046,0.00025904111085021486,0.0027065519923015584,0.0008645934914378456
Wisconsin,-0.003153056843562596,-0.00023531112675347424,-0.0021132761751470885,0.001301263521570284,0.0004521336298404471,0.00300793914660032,0.0007403078474521214
Wyoming,-0.002315451724330897,-0.0014296613878186648,-0.0008630851332076944,0.0005754858913507163,0.00027936022293635556,0.001861635065877663,0.0018917170651924775
